node,split_42,split_7,split_123,split_99,split_256
4,train,train,train,train,train
5,train,train,train,train,train
10,test,train,train,test,test
14,test,test,train,test,train
18,train,test,train,train,train
22,train,train,test,train,train
24,test,test,train,train,test
27,train,train,test,test,train
30,train,test,train,train,train
46,train,test,test,train,test
49,test,train,train,train,test
51,train,train,train,train,test
54,test,train,train,train,train
59,train,test,test,train,train
63,train,train,train,train,train
64,train,train,test,train,train
65,train,train,train,test,train
67,train,test,train,test,train
77,train,train,test,test,train
80,train,test,train,train,train
84,train,test,train,test,test
95,train,train,train,train,test
101,train,train,train,test,train
104,test,test,train,test,train
113,train,test,train,train,train
115,test,test,train,test,train
116,train,test,train,train,train
121,test,train,train,test,train
122,train,train,train,train,train
127,train,train,train,train,train
132,test,train,train,test,train
145,test,train,test,train,train
157,train,train,train,test,train
162,train,train,test,train,train
163,train,test,train,train,train
164,train,train,test,train,test
170,train,train,train,train,train
173,train,train,train,train,train
174,train,test,train,train,train
176,test,train,train,train,test
178,train,test,test,test,train
183,train,train,test,train,train
197,train,test,test,test,test
204,test,test,test,train,test
207,test,train,train,train,train
208,train,train,test,train,test
209,train,test,train,test,train
214,test,train,train,train,test
215,train,train,train,test,train
219,test,train,train,train,train
221,train,train,test,test,train
224,test,test,train,train,test
226,train,train,test,train,test
230,train,test,train,test,train
240,test,test,train,train,train
241,test,train,train,train,train
242,test,train,train,train,test
249,train,test,test,test,test
256,test,test,train,train,train
259,test,train,train,train,train
260,train,test,train,train,train
262,train,test,train,train,train
265,train,train,train,test,train
267,test,test,train,test,test
272,train,train,train,test,train
273,train,train,test,test,train
278,test,train,train,train,train
299,test,train,test,train,train
300,train,train,test,train,train
305,train,train,test,train,test
308,test,test,train,test,test
309,train,test,train,train,train
318,train,train,test,test,train
322,train,train,train,train,test
327,train,test,train,test,test
330,train,test,train,train,train
331,test,train,train,train,test
334,train,train,train,test,train
341,test,train,train,train,train
347,train,train,train,train,train
351,train,train,train,train,test
360,test,train,train,train,test
362,train,train,train,train,test
366,test,test,train,train,train
368,train,train,test,test,train
376,train,train,test,train,test
377,test,train,test,test,train
380,train,train,train,train,train
381,test,train,train,test,train
383,train,train,train,train,test
390,train,train,test,train,test
406,train,train,train,train,train
412,train,train,train,train,train
415,train,train,train,train,train
416,train,test,train,train,test
419,train,test,test,train,train
421,test,train,train,train,train
425,train,test,test,train,train
426,train,test,test,train,train
427,train,test,train,test,train
431,test,train,train,test,test
434,test,test,train,train,train
435,train,train,train,test,train
444,train,train,test,train,test
448,train,train,train,train,test
449,train,train,train,train,train
451,test,train,train,train,train
453,test,train,train,test,train
463,train,test,train,train,train
464,test,test,test,test,test
470,train,test,test,train,train
473,train,train,train,train,test
479,train,train,test,train,test
484,test,test,train,test,test
485,train,train,test,train,train
487,train,train,train,train,train
493,train,train,train,train,train
496,train,train,train,train,train
498,train,train,train,train,train
501,train,train,test,train,train
503,train,train,test,train,train
504,train,train,train,train,test
515,train,train,train,train,train
522,test,test,train,train,train
525,train,train,test,test,train
529,train,test,train,train,test
531,train,train,train,test,train
540,train,train,train,train,train
543,test,test,train,train,test
547,test,train,test,test,train
554,train,test,test,train,train
557,train,train,test,test,train
561,train,test,train,test,test
565,train,train,train,train,train
566,train,test,test,train,train
567,test,train,train,train,train
568,test,train,test,test,train
569,train,train,train,train,train
571,test,test,test,test,test
573,test,train,train,train,train
574,test,test,train,test,train
