node,formal,lean,latex,tptp,smtlib,py_lambda,py_cayley_table,ssa,rpn,polish,slots,json_ast,ascii_tree,graphviz,natural_language,word_problem,text,text2,confusable_vars
4,x = x ◇ y,"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = x ◇ y",x = x \diamond y,"fof(law, axiom, ![X,Y] : X = op(X,Y)).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op x y))))","lambda op, x, y: x == op(x, y)","def law(table):
    n = len(table)
    return all(x == table[x][y] for x in range(n) for y in range(n))
","t1 = x ◇ y
assert x = t1",x x y ◇ =,= x ◇ x y,"[1, [1, 2]]","{""="": [""x"", {""◇"": [""x"", ""y""]}]}","=
├── x
└── ◇
    ├── x
    └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""x""];
  n5 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n5;
}","A single instance of the variable x is equal to the result of combining the same variable x with another variable y using a binary operation. The left side of the equation contains one occurrence of x. The right side contains one occurrence of x and one occurrence of y, with the binary operation applied directly between them. No additional variables or groupings are present.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding x to y.",x equals x diamond y,x equals the diamond of x and y,l = l ◇ I
5,x = y ◇ x,"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = y ◇ x",x = y \diamond x,"fof(law, axiom, ![X,Y] : X = op(Y,X)).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op y x))))","lambda op, x, y: x == op(y, x)","def law(table):
    n = len(table)
    return all(x == table[y][x] for x in range(n) for y in range(n))
","t1 = y ◇ x
assert x = t1",x y x ◇ =,= x ◇ y x,"[1, [2, 1]]","{""="": [""x"", {""◇"": [""y"", ""x""]}]}","=
├── x
└── ◇
    ├── y
    └── x","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""y""];
  n5 [label=""x""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n5;
}","The identity involves two variables, x and y. The variable x appears once on the left side and once on the right side. The variable y appears once on the right side. The right side consists of the operation applied to the variable y and the variable x. The left side is the variable x alone. The operation is applied directly to y and x without any additional grouping or nesting.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding y to x.",x equals y diamond x,x equals the diamond of y and x,l = I ◇ l
10,x = x ◇ (y ◇ x),"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = x ◇ (y ◇ x)",x = x \diamond (y \diamond x),"fof(law, axiom, ![X,Y] : X = op(X,op(Y,X))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op x (op y x)))))","lambda op, x, y: x == op(x, op(y, x))","def law(table):
    n = len(table)
    return all(x == table[x][table[y][x]] for x in range(n) for y in range(n))
","t1 = y ◇ x
t2 = x ◇ t1
assert x = t2",x x y x ◇ ◇ =,= x ◇ x ◇ y x,"[1, [1, [2, 1]]]","{""="": [""x"", {""◇"": [""x"", {""◇"": [""y"", ""x""]}]}]}","=
├── x
└── ◇
    ├── x
    └── ◇
        ├── y
        └── x","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""x""];
  n5 [label=""◇""];
  n6 [label=""y""];
  n7 [label=""x""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n5;
  n5 -> n6;
  n5 -> n7;
}","A single variable x is equal to the operation applied to x and the operation applied to another variable y and the same variable x. The operation is applied twice in total, with the first occurrence involving x and the second occurrence involving y and x. The variable x appears twice, once as the first operand of the outer operation and once as the second operand of the inner operation. The variable y appears once as the first operand of the inner operation. The inner operation is grouped and performed before the outer operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding x to the part made by welding y to x.",x equals x diamond open bracket y diamond x close bracket,x equals the diamond of x and the diamond of y and x,l = l ◇ (I ◇ l)
14,x = y ◇ (x ◇ y),"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = y ◇ (x ◇ y)",x = y \diamond (x \diamond y),"fof(law, axiom, ![X,Y] : X = op(Y,op(X,Y))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op y (op x y)))))","lambda op, x, y: x == op(y, op(x, y))","def law(table):
    n = len(table)
    return all(x == table[y][table[x][y]] for x in range(n) for y in range(n))
","t1 = x ◇ y
t2 = y ◇ t1
assert x = t2",x y x y ◇ ◇ =,= x ◇ y ◇ x y,"[1, [2, [1, 2]]]","{""="": [""x"", {""◇"": [""y"", {""◇"": [""x"", ""y""]}]}]}","=
├── x
└── ◇
    ├── y
    └── ◇
        ├── x
        └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""y""];
  n5 [label=""◇""];
  n6 [label=""x""];
  n7 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n5;
  n5 -> n6;
  n5 -> n7;
}","The identity states that a single variable x is equal to an operation applied to a variable y and another operation applied to a variable x and the same variable y. The operation is first applied to x and y, and then the result of that operation is used as the second operand in a new operation with y. The variables involved are x and y, with x appearing once on the left side and once in the inner operation, and y appearing once in the inner operation and once as the first operand in the outer operation.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding y to the part made by welding x to y.",x equals y diamond open bracket x diamond y close bracket,x equals the diamond of y and the diamond of x and y,l = I ◇ (l ◇ I)
18,x = y ◇ (y ◇ z),"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = y ◇ (y ◇ z)",x = y \diamond (y \diamond z),"fof(law, axiom, ![X,Y,Z] : X = op(Y,op(Y,Z))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op y (op y z)))))","lambda op, x, y, z: x == op(y, op(y, z))","def law(table):
    n = len(table)
    return all(x == table[y][table[y][z]] for x in range(n) for y in range(n) for z in range(n))
","t1 = y ◇ z
t2 = y ◇ t1
assert x = t2",x y y z ◇ ◇ =,= x ◇ y ◇ y z,"[1, [2, [2, 3]]]","{""="": [""x"", {""◇"": [""y"", {""◇"": [""y"", ""z""]}]}]}","=
├── x
└── ◇
    ├── y
    └── ◇
        ├── y
        └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""y""];
  n5 [label=""◇""];
  n6 [label=""y""];
  n7 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n5;
  n5 -> n6;
  n5 -> n7;
}","The equation equates a single variable x to a compound expression involving two instances of a second variable y and a third variable z. The compound expression is formed by applying a binary operation to the second variable y and another binary operation applied to the same second variable y and the third variable z. The first occurrence of the second variable appears on the left side of the outermost operation, while the second occurrence of the same variable is the left operand of the innermost operation. The third variable appears only once as the right operand of the innermost operation. The structure contains exactly three variables with no additional elements.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding y to the part made by welding y to z.",x equals y diamond open bracket y diamond z close bracket,x equals the diamond of y and the diamond of y and z,l = I ◇ (I ◇ ll)
22,x = y ◇ (z ◇ w),"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x = y ◇ (z ◇ w)",x = y \diamond (z \diamond w),"fof(law, axiom, ![X,Y,Z,W] : X = op(Y,op(Z,W))).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= x (op y (op z w)))))","lambda op, x, y, z, w: x == op(y, op(z, w))","def law(table):
    n = len(table)
    return all(x == table[y][table[z][w]] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = z ◇ w
t2 = y ◇ t1
assert x = t2",x y z w ◇ ◇ =,= x ◇ y ◇ z w,"[1, [2, [3, 4]]]","{""="": [""x"", {""◇"": [""y"", {""◇"": [""z"", ""w""]}]}]}","=
├── x
└── ◇
    ├── y
    └── ◇
        ├── z
        └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""y""];
  n5 [label=""◇""];
  n6 [label=""z""];
  n7 [label=""w""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n5;
  n5 -> n6;
  n5 -> n7;
}","The left side of the equation consists of a single variable x. The right side involves the combination of two variables, where one variable is combined with the result of combining two other variables. Specifically, the right side is formed by taking the first variable and combining it with the outcome of combining the second and third variables. The variables involved are x, y, z, and w, each appearing exactly once. The combination of the second and third variables occurs before the combination with the first variable. The left side contains the first variable, and the right side contains the remaining three variables.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, x gives the same part as welding y to the part made by welding z to w.",x equals y diamond open bracket z diamond w close bracket,x equals the diamond of y and the diamond of z and w,l = I ◇ (ll ◇ lI)
24,x = (x ◇ x) ◇ y,"example (G : Type u) [Magma G] : Prop := ∀ x y : G, x = (x ◇ x) ◇ y",x = (x \diamond x) \diamond y,"fof(law, axiom, ![X,Y] : X = op(op(X,X),Y)).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M))
  (= x (op (op x x) y))))","lambda op, x, y: x == op(op(x, x), y)","def law(table):
    n = len(table)
    return all(x == table[table[x][x]][y] for x in range(n) for y in range(n))
","t1 = x ◇ x
t2 = t1 ◇ y
assert x = t2",x x x ◇ y ◇ =,= x ◇ ◇ x x y,"[1, [[1, 1], 2]]","{""="": [""x"", {""◇"": [{""◇"": [""x"", ""x""]}, ""y""]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── x
    │   └── x
    └── y","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""x""];
  n6 [label=""x""];
  n7 [label=""y""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
}","The identity involves a single variable on the left side and two variables on the right side. The left side consists of a single occurrence of the variable x. The right side consists of the result of applying the operation to two instances of the variable x, followed by applying the operation to that result and a second variable y. The variable x appears twice on the right side, once in the first application of the operation and once in the second application, while the variable y appears once on the right side. The operation is structured such that the first application of the operation combines two x variables, and the second application combines the result of that with the variable y.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x and y, x gives the same part as welding the part made by welding x to x to y.",x equals open bracket x diamond x close bracket diamond y,x equals the diamond of the diamond of x and x and y,l = (l ◇ l) ◇ I
27,x = (x ◇ y) ◇ z,"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (x ◇ y) ◇ z",x = (x \diamond y) \diamond z,"fof(law, axiom, ![X,Y,Z] : X = op(op(X,Y),Z)).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op x y) z))))","lambda op, x, y, z: x == op(op(x, y), z)","def law(table):
    n = len(table)
    return all(x == table[table[x][y]][z] for x in range(n) for y in range(n) for z in range(n))
","t1 = x ◇ y
t2 = t1 ◇ z
assert x = t2",x x y ◇ z ◇ =,= x ◇ ◇ x y z,"[1, [[1, 2], 3]]","{""="": [""x"", {""◇"": [{""◇"": [""x"", ""y""]}, ""z""]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── x
    │   └── y
    └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""x""];
  n6 [label=""y""];
  n7 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
}","The expression on the left side is a single instance of the variable x. The expression on the right side involves three variables where the operation is applied first to the first variable and the second variable, then the result of that application is combined with the third variable using the same operation. The first variable appears once in the initial application and the third variable appears once in the final application, while the second variable appears only in the initial application.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding x to y to z.",x equals open bracket x diamond y close bracket diamond z,x equals the diamond of the diamond of x and y and z,l = (l ◇ I) ◇ ll
30,x = (y ◇ x) ◇ z,"example (G : Type u) [Magma G] : Prop := ∀ x y z : G, x = (y ◇ x) ◇ z",x = (y \diamond x) \diamond z,"fof(law, axiom, ![X,Y,Z] : X = op(op(Y,X),Z)).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M))
  (= x (op (op y x) z))))","lambda op, x, y, z: x == op(op(y, x), z)","def law(table):
    n = len(table)
    return all(x == table[table[y][x]][z] for x in range(n) for y in range(n) for z in range(n))
","t1 = y ◇ x
t2 = t1 ◇ z
assert x = t2",x y x ◇ z ◇ =,= x ◇ ◇ y x z,"[1, [[2, 1], 3]]","{""="": [""x"", {""◇"": [{""◇"": [""y"", ""x""]}, ""z""]}]}","=
├── x
└── ◇
    ├── ◇
    │   ├── y
    │   └── x
    └── z","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""x""];
  n3 [label=""◇""];
  n4 [label=""◇""];
  n5 [label=""y""];
  n6 [label=""x""];
  n7 [label=""z""];
  n1 -> n2;
  n1 -> n3;
  n3 -> n4;
  n3 -> n7;
  n4 -> n5;
  n4 -> n6;
}","The identity states that a single variable is equal to the result of applying the operation to a second variable and a third variable, and then applying the operation to that result and a first variable. The first variable appears once on the left side and once in the first operation, the second variable appears once in the first operation, and the third variable appears once in the second operation. The operation is grouped such that the first application is between the second variable and the first variable, and the second application is between that result and the third variable.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y and z, x gives the same part as welding the part made by welding y to x to z.",x equals open bracket y diamond x close bracket diamond z,x equals the diamond of the diamond of y and x and z,l = (I ◇ l) ◇ ll
46,x ◇ y = z ◇ w,"example (G : Type u) [Magma G] : Prop := ∀ x y z w : G, x ◇ y = z ◇ w",x \diamond y = z \diamond w,"fof(law, axiom, ![X,Y,Z,W] : op(X,Y) = op(Z,W)).","(declare-sort M 0)
(declare-fun op (M M) M)
(assert (forall ((x M) (y M) (z M) (w M))
  (= (op x y) (op z w))))","lambda op, x, y, z, w: op(x, y) == op(z, w)","def law(table):
    n = len(table)
    return all(table[x][y] == table[z][w] for x in range(n) for y in range(n) for z in range(n) for w in range(n))
","t1 = x ◇ y
t2 = z ◇ w
assert t1 = t2",x y ◇ z w ◇ =,= ◇ x y ◇ z w,"[[1, 2], [3, 4]]","{""="": [{""◇"": [""x"", ""y""]}, {""◇"": [""z"", ""w""]}]}","=
├── ◇
│   ├── x
│   └── y
└── ◇
    ├── z
    └── w","digraph law {
  ordering=out;
  n1 [label=""=""];
  n2 [label=""◇""];
  n3 [label=""x""];
  n4 [label=""y""];
  n5 [label=""◇""];
  n6 [label=""z""];
  n7 [label=""w""];
  n1 -> n2;
  n1 -> n5;
  n2 -> n3;
  n2 -> n4;
  n5 -> n6;
  n5 -> n7;
}","The identity involves a single binary operation applied to two variables on each side of an equality. On the left side, the operation is applied to the first variable and the second variable. On the right side, the operation is applied to the third variable and the fourth variable. Each variable appears exactly once on its respective side, and the operation is directly applied to the two variables without any additional grouping or nesting. The result of the operation on the left side is equal to the result of the operation on the right side.","A workshop welder takes two parts, in a definite order, and fuses them into one new part. Feeding the same two parts in the opposite order, or grouping a sequence of welds differently, may give a different part.

Claim: for any parts x, y, z and w, welding x to y gives the same part as welding z to w.",x diamond y equals z diamond w,the diamond of x and y equals the diamond of z and w,l ◇ I = ll ◇ lI
