pair_id,node_a,node_b,relation,forward_a_implies_b,backward_b_implies_a,formal_a,formal_b,split_42,split_7,split_123,split_99,split_256
0,2560,2335,weaker,True,False,x = (y ◇ ((y ◇ z) ◇ z)) ◇ z,x = (y ◇ (y ◇ (x ◇ z))) ◇ z,train,train,excluded,train,train
1,3031,1384,weaker,True,False,x = ((y ◇ (z ◇ w)) ◇ y) ◇ z,x = y ◇ (((z ◇ z) ◇ x) ◇ y),excluded,train,train,excluded,excluded
2,4155,435,incomparable,False,False,x ◇ y = ((y ◇ x) ◇ x) ◇ y,x = x ◇ (y ◇ (x ◇ (z ◇ w))),train,train,train,excluded,train
3,2890,3443,incomparable,False,False,x = ((x ◇ (y ◇ z)) ◇ z) ◇ x,x ◇ y = z ◇ (w ◇ (z ◇ w)),test,excluded,excluded,train,train
4,4473,1852,incomparable,False,False,x ◇ (y ◇ y) = (x ◇ y) ◇ y,x = (x ◇ (y ◇ x)) ◇ (y ◇ z),train,excluded,train,excluded,excluded
5,720,2283,weaker,True,False,x = y ◇ (y ◇ ((y ◇ z) ◇ y)),x = (x ◇ (y ◇ (z ◇ z))) ◇ z,excluded,train,train,excluded,excluded
6,1317,4303,weaker,True,False,x = y ◇ (((y ◇ x) ◇ y) ◇ z),x ◇ (x ◇ y) = z ◇ (y ◇ x),train,excluded,train,excluded,excluded
7,215,1357,incomparable,False,False,x = (x ◇ (y ◇ z)) ◇ y,x = y ◇ (((z ◇ x) ◇ z) ◇ x),excluded,excluded,train,excluded,train
8,416,1347,stronger,False,True,x = x ◇ (x ◇ (y ◇ (x ◇ x))),x = y ◇ (((y ◇ z) ◇ w) ◇ w),train,excluded,train,train,excluded
9,2824,3909,weaker,True,False,x = ((y ◇ z) ◇ (w ◇ x)) ◇ w,x ◇ x = (y ◇ (z ◇ w)) ◇ x,excluded,train,train,excluded,train
10,2841,1082,weaker,True,False,x = ((y ◇ z) ◇ (w ◇ u)) ◇ x,x = y ◇ ((x ◇ (y ◇ x)) ◇ x),excluded,train,excluded,excluded,train
11,2308,3453,incomparable,False,False,x = (y ◇ (x ◇ (y ◇ z))) ◇ z,x ◇ y = z ◇ (w ◇ (u ◇ w)),train,excluded,excluded,excluded,test
12,2626,3175,equivalent,True,True,x = (y ◇ ((z ◇ w) ◇ y)) ◇ w,x = (((y ◇ y) ◇ z) ◇ w) ◇ u,train,test,excluded,test,excluded
13,3917,2393,incomparable,False,False,x ◇ y = (x ◇ (x ◇ y)) ◇ x,x = (y ◇ (z ◇ (y ◇ w))) ◇ x,excluded,excluded,train,excluded,excluded
14,2487,197,stronger,False,True,x = (x ◇ ((y ◇ z) ◇ z)) ◇ w,x = (y ◇ z) ◇ (z ◇ w),excluded,test,excluded,test,excluded
15,3530,273,incomparable,False,False,x ◇ y = x ◇ ((z ◇ x) ◇ z),x = ((y ◇ x) ◇ y) ◇ x,train,excluded,excluded,excluded,train
16,703,1360,stronger,False,True,x = y ◇ (y ◇ ((x ◇ x) ◇ x)),x = y ◇ (((z ◇ x) ◇ z) ◇ w),excluded,train,excluded,train,excluded
17,3141,642,weaker,True,False,x = (((y ◇ y) ◇ x) ◇ x) ◇ z,x = x ◇ (y ◇ ((y ◇ y) ◇ x)),train,train,excluded,train,train
18,3332,1748,stronger,False,True,x ◇ y = x ◇ (z ◇ (y ◇ w)),x = (y ◇ y) ◇ ((z ◇ z) ◇ z),excluded,excluded,excluded,train,excluded
19,574,3949,weaker,True,False,x = y ◇ (z ◇ (z ◇ (x ◇ w))),x ◇ y = (x ◇ (z ◇ w)) ◇ w,excluded,test,excluded,excluded,train
20,260,4443,incomparable,False,False,x = ((x ◇ y) ◇ x) ◇ x,x ◇ (y ◇ x) = (y ◇ x) ◇ y,train,excluded,train,excluded,excluded
21,3180,3601,incomparable,False,False,x = (((y ◇ z) ◇ x) ◇ y) ◇ x,x ◇ y = z ◇ ((y ◇ x) ◇ z),train,train,excluded,train,excluded
22,4352,3931,incomparable,False,False,x ◇ (y ◇ y) = z ◇ (y ◇ w),x ◇ y = (x ◇ (y ◇ z)) ◇ y,train,excluded,train,excluded,train
23,327,2558,incomparable,False,False,x ◇ y = x ◇ (y ◇ z),x = (y ◇ ((y ◇ z) ◇ z)) ◇ x,train,excluded,train,excluded,excluded
24,2324,1870,weaker,True,False,x = (y ◇ (x ◇ (z ◇ w))) ◇ z,x = (x ◇ (y ◇ z)) ◇ (x ◇ w),train,test,excluded,excluded,excluded
25,1816,4,incomparable,False,False,x = (y ◇ z) ◇ ((w ◇ z) ◇ x),x = x ◇ y,excluded,train,train,train,train
26,3483,360,incomparable,False,False,x ◇ x = y ◇ ((y ◇ x) ◇ z),x ◇ x = (x ◇ x) ◇ y,excluded,excluded,train,train,excluded
